searchUUID,naId,name,variantNames,slug
895d6d84-17ab-11eb-8f3b-9d3a470d8ed5,175776606,Delaware Tribe of Indians,,delaware-tribe-of-indians-175776606
895d6d85-17ab-11eb-8f3b-9d3a470d8ed5,175776612,Ute Indian Tribe,,ute-indian-tribe-175776612
895d6d86-17ab-11eb-8f3b-9d3a470d8ed5,176203315,Pala Band of Mission Indians,,pala-band-of-mission-indians-176203315
895d6d87-17ab-11eb-8f3b-9d3a470d8ed5,176213805,"Pueblo of Isleta, New Mexico",,pueblo-of-isleta-new-mexico-176213805
895d6d88-17ab-11eb-8f3b-9d3a470d8ed5,176213808,Seneca Nation of Indians,Seneca,seneca-nation-of-indians-176213808
895d6d89-17ab-11eb-8f3b-9d3a470d8ed5,176213818,Seminole Tribes of Florida,,seminole-tribes-of-florida-176213818
895d6d8a-17ab-11eb-8f3b-9d3a470d8ed5,176213827,"Pueblo of Acoma, New Mexico",,pueblo-of-acoma-new-mexico-176213827
895d6d8b-17ab-11eb-8f3b-9d3a470d8ed5,176215669,"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana",,confederated-salish-kootenai-tribes-of-the-flathead-reservation-montana-176215669
895d6d8c-17ab-11eb-8f3b-9d3a470d8ed5,176215806,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",Sisseton Wahpeton Oyate Tribe,sisseton-wahpeton-oyate-of-the-lake-traverse-reservation-south-dakota-176215806
895d6d8d-17ab-11eb-8f3b-9d3a470d8ed5,178931159,"Augustine Band of Cahuilla Indians, California",Augustine Band of Cahuilla Indians,augustine-band-of-cahuilla-indians-california-178931159
895d6d8e-17ab-11eb-8f3b-9d3a470d8ed5,178931172,"Cabazon Band of Mission Indians, California",,cabazon-band-of-mission-indians-california-178931172
895d6d8f-17ab-11eb-8f3b-9d3a470d8ed5,178931179,The Cahuilla Band of Indians,,the-cahuilla-band-of-indians-178931179
895d6d90-17ab-11eb-8f3b-9d3a470d8ed5,178931183,Campo Kumeyaay Nation,,campo-kumeyaay-nation-178931183
895d6d91-17ab-11eb-8f3b-9d3a470d8ed5,178931203,Colorado River Indian Tribes,,colorado-river-indian-tribes-178931203
895d6d92-17ab-11eb-8f3b-9d3a470d8ed5,178931244,Confederated Tribes of Warm Springs,,confederated-tribes-of-warm-springs-178931244
895d6d93-17ab-11eb-8f3b-9d3a470d8ed5,178931257,Havasupai Tribe,,havasupai-tribe-178931257
895d6d94-17ab-11eb-8f3b-9d3a470d8ed5,178931261,"Hoopa Valley Tribe, California",Hoopa Valley Tribe,hoopa-valley-tribe-california-178931261
895d6d95-17ab-11eb-8f3b-9d3a470d8ed5,178931274,Hopi Tribe,Hopi Tribe of Arizona,hopi-tribe-178931274
895d6d96-17ab-11eb-8f3b-9d3a470d8ed5,178931276,Inaja-Cosmit Band of Indians,,inaja-cosmit-band-of-indians-178931276
895d6d97-17ab-11eb-8f3b-9d3a470d8ed5,178931279,"La Jolla Band of Luiseno Indians, California",,la-jolla-band-of-luiseno-indians-california-178931279
895d6d98-17ab-11eb-8f3b-9d3a470d8ed5,178931290,La Posta Band of Mission Indians,,la-posta-band-of-mission-indians-178931290
895d6d99-17ab-11eb-8f3b-9d3a470d8ed5,178931292,"Los Coyotes Band of Cahuilla and Cupeno Indians of the Los Coyotes Reservation, California",,los-coyotes-band-of-cahuilla-and-cupeno-indians-of-the-los-coyotes-reservation-california-178931292
895d6d9a-17ab-11eb-8f3b-9d3a470d8ed5,178931324,Manzanita Band of the Kumeyaay Nation,,manzanita-band-of-the-kumeyaay-nation-178931324
895d6d9b-17ab-11eb-8f3b-9d3a470d8ed5,178931331,Mesa Grande Band of Diegueno Mission Indians,,mesa-grande-band-of-diegueno-mission-indians-178931331
895d6d9c-17ab-11eb-8f3b-9d3a470d8ed5,178931334,Mission Creek Band of Mission Indians,,mission-creek-band-of-mission-indians-178931334
895d6d9d-17ab-11eb-8f3b-9d3a470d8ed5,178931336,"Sokaogon Chippewa Community, Wisconsin",,sokaogon-chippewa-community-wisconsin-178931336
895d6d9e-17ab-11eb-8f3b-9d3a470d8ed5,178931339,"Morongo Band of Mission Indians, California",,morongo-band-of-mission-indians-california-178931339
895d6d9f-17ab-11eb-8f3b-9d3a470d8ed5,178931342,Northwestern Band of the Shoshone Nation,,northwestern-band-of-the-shoshone-nation-178931342
895d6da0-17ab-11eb-8f3b-9d3a470d8ed5,178959460,Pauma Band of Luiseno Indians,,pauma-band-of-luiseno-indians-178959460
895d6da1-17ab-11eb-8f3b-9d3a470d8ed5,178959466,Fort Yuma Quechan Indian Tribe,,fort-yuma-quechan-indian-tribe-178959466
895d6da2-17ab-11eb-8f3b-9d3a470d8ed5,178959477,Rincon Band of Luiseno Indians,,rincon-band-of-luiseno-indians-178959477
895d6da3-17ab-11eb-8f3b-9d3a470d8ed5,178959488,Round Valley Indian Tribes,,round-valley-indian-tribes-178959488
895d6da4-17ab-11eb-8f3b-9d3a470d8ed5,178959509,"San Manuel Band of Mission Indians, California",,san-manuel-band-of-mission-indians-california-178959509
895d6da5-17ab-11eb-8f3b-9d3a470d8ed5,178959523,San Pasqual Band of Diegueno Mission Indians of California,San Pasqual Band of Diegueno Mission Indians,san-pasqual-band-of-diegueno-mission-indians-of-california-178959523
895d6da6-17ab-11eb-8f3b-9d3a470d8ed5,178959526,"Santa Rosa Band of Cahuilla Indians, California",Santa Rosa Band of Cahuilla Indians,santa-rosa-band-of-cahuilla-indians-california-178959526
895d6da7-17ab-11eb-8f3b-9d3a470d8ed5,10535791,Yankton Sioux Tribe of South Dakota,Yankton Sioux Tribe,yankton-sioux-tribe-of-south-dakota-10535791
895d6da8-17ab-11eb-8f3b-9d3a470d8ed5,10444931,Winnebago Tribe of Nebraska,,winnebago-tribe-of-nebraska-10444931
895d6da9-17ab-11eb-8f3b-9d3a470d8ed5,10442290,Sac and Fox Nation,,sac-and-fox-nation-10442290
895d6daa-17ab-11eb-8f3b-9d3a470d8ed5,10443804,Red Lake Band of Chippewa Indians,,red-lake-band-of-chippewa-indians-10443804
895d6dab-17ab-11eb-8f3b-9d3a470d8ed5,10445593,Quinault Indian Nation,,quinault-indian-nation-10445593
895d6dac-17ab-11eb-8f3b-9d3a470d8ed5,10442289,Osage Nation,,osage-nation-10442289
895d9470-17ab-11eb-8f3b-9d3a470d8ed5,10446012,Minnesota Chippewa Tribe,,minnesota-chippewa-tribe-10446012
895d9471-17ab-11eb-8f3b-9d3a470d8ed5,10446357,Northern Cheyenne Tribe,,northern-cheyenne-tribe-10446357
895d9472-17ab-11eb-8f3b-9d3a470d8ed5,10441069,Skokomish Indian Tribe,,skokomish-indian-tribe-10441069
895d9473-17ab-11eb-8f3b-9d3a470d8ed5,10440787,Chippewa Tribe,,chippewa-tribe-10440787
895d9474-17ab-11eb-8f3b-9d3a470d8ed5,175776447,Bannock Indians,,bannock-indians-175776447
895d9475-17ab-11eb-8f3b-9d3a470d8ed5,175776458,Pueblo of Santa Clara,Santa Clara Pueblo,pueblo-of-santa-clara-175776458
895d9476-17ab-11eb-8f3b-9d3a470d8ed5,176213813,Seminole Nation of Oklahoma,"Great Seminole Nation of Oklahoma
",seminole-nation-of-oklahoma-176213813
895d9477-17ab-11eb-8f3b-9d3a470d8ed5,176203313,Pima Indians,,pima-indians-176203313
895d9478-17ab-11eb-8f3b-9d3a470d8ed5,10445840,Cherokee Nation,,cherokee-nation-10445840
895d9479-17ab-11eb-8f3b-9d3a470d8ed5,10442678,Kickapoo Tribe of Indians,,kickapoo-tribe-of-indians-10442678
895d947a-17ab-11eb-8f3b-9d3a470d8ed5,176215671,Fallon Paiute-Shoshone Tribe,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada
",fallon-paiute-shoshone-tribe-176215671
895d947b-17ab-11eb-8f3b-9d3a470d8ed5,176203902,Muscogee (Creek) Nation,"Muscogee Nation
",muscogee-creek-nation-176203902
895d947c-17ab-11eb-8f3b-9d3a470d8ed5,10444831,Omaha Tribe of Nebraska,,omaha-tribe-of-nebraska-10444831
895d947d-17ab-11eb-8f3b-9d3a470d8ed5,10446758,Nez Perce Tribe,,nez-perce-tribe-10446758
895d947e-17ab-11eb-8f3b-9d3a470d8ed5,10441171,Sioux Nation,,sioux-nation-10441171
895d947f-17ab-11eb-8f3b-9d3a470d8ed5,175776603,Waco Tribe,,waco-tribe-175776603
